Random,Smart,Chess,Diagonal
0,0,0,0
972.681.509.936.829,972.681.509.936.829,972.681.509.936.829,972.681.509.936.829
522.016.920.870.998,522.016.920.870.998,522.016.920.870.998,522.016.920.870.998
514.341.577.875.293,514.341.577.875.293,514.341.577.875.293,514.341.577.875.293
629.052.270.884.615,629.052.270.884.615,629.052.270.884.615,629.052.270.884.615
77.313.820.493.532,77.313.820.493.532,77.313.820.493.532,77.313.820.493.532
882.853.694.201.112,882.853.694.201.112,882.853.694.201.112,882.853.694.201.112
861.984.497.672.216,738.557.058.394.833,882.222.099.434.748,882.222.099.434.748
809.122.821.654.767,732.098.221.469.123,821.214.808.784.709,821.214.808.784.709
762.843.997.720.374,720.242.008.473.425,767.950.732.245.955,767.950.732.245.955
795.181.273.696.107,769.124.907.349.953,797.967.533.947.958,797.967.533.947.958
931.603.311.853.748,911.132.410.817.071,933.778.081.043.867,933.778.081.043.867
103.825.549.068.908,102.194.312.442.111,104.001.318.873.106,104.001.318.873.106
868.138.616.015.036,860.279.736.005.807,868.987.563.310.182,868.987.563.310.182
654.842.010.410.919,594.737.998.668.713,668.456.675.310.933,668.456.675.310.933
628.015.790.882.027,59.637.712.606.864,632.922.804.345.527,632.922.804.345.527
591.924.308.775.615,579.426.980.235.933,593.393.087.584.555,593.393.087.584.555
670.880.790.786.747,663.919.525.283.011,671.662.702.839.437,671.662.702.839.437
865.003.187.247.718,859.083.833.876.921,86.568.899.333.229,86.568.899.333.229
118.933.666.918.446,11.820.126.293.114,119.021.740.492.873,119.021.740.492.873
135.627.302.396.852,134.911.809.741.996,135.713.835.537.551,135.713.835.537.551
131.342.533.611.857,100.642.104.984.412,134.520.159.256.983,134.520.159.256.983
999.657.842.661.632,837.755.304.232.723,101.617.419.532.573,101.617.419.532.573
108.674.101.109.894,955.889.988.434.939,110.007.840.627.278,110.007.840.627.278
100.355.495.095.333,922.308.515.469.601,101.187.340.951.728,101.187.340.951.728
937.251.966.369.246,889.260.418.306.438,942.177.293.605.226,942.177.293.605.226
894.362.061.958.736,865.815.045.527.825,897.294.168.531.773,897.294.168.531.773
104.574.007.664.244,102.070.210.580.868,10.483.148.791.043,10.483.148.791.043
109.817.279.440.224,898.690.056.962.321,116.168.851.291.515,116.168.851.291.515
12.361.280.902.872,104.082.585.789.585,129.774.925.645.603,129.774.925.645.603
116.694.623.610.568,102.993.046.550.081,120.941.612.172.489,120.941.612.172.489
142.859.727.308.251,12.833.122.498.901,147.402.719.188.092,147.402.719.188.092
234.018.366.359.521,203.049.927.079.014,243.778.867.991.136,243.778.867.991.136
36.877.488.551.433,311.732.880.189.065,386.736.369.409.679,386.736.369.409.679
323.476.144.743.626,277.277.847.469.519,338.016.195.037.238,338.016.195.037.238
279.174.376.276.125,168.165.631.692.327,309.872.094.687.452,309.872.094.687.452
422.043.445.232.127,219.219.132.724.551,476.807.458.772.739,476.807.458.772.739
592.356.937.746.944,276.040.624.858.637,67.498.753.544.772,67.498.753.544.772
48.531.349.916.748,23.715.831.193.242,549.700.956.386.742,549.700.956.386.742
498.371.494.548.401,245.557.338.111.797,563.219.854.219.152,563.219.854.219.152
